backend,accuracy,acc_drop_vs_pytorch_fp32,avg_latency_ms,num_samples,classification_report_txt,confusion_matrix_csv,confusion_matrix_png,per_image_predictions_csv
pytorch_fp32,1.0,0.0,13.749107608675885,92,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\pytorch_fp32_classification_report.txt,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\pytorch_fp32_confusion_matrix.csv,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\pytorch_fp32_confusion_matrix.png,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\pytorch_fp32_per_image_predictions.csv
onnx_fp32,1.0,0.0,3.286660869612799,92,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\onnx_fp32_classification_report.txt,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\onnx_fp32_confusion_matrix.csv,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\onnx_fp32_confusion_matrix.png,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\onnx_fp32_per_image_predictions.csv
tflite_float32,1.0,0.0,6.855603260725689,92,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_float32_classification_report.txt,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_float32_confusion_matrix.csv,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_float32_confusion_matrix.png,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_float32_per_image_predictions.csv
tflite_fp16,1.0,0.0,6.497721739062557,92,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_fp16_classification_report.txt,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_fp16_confusion_matrix.csv,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_fp16_confusion_matrix.png,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_fp16_per_image_predictions.csv
tflite_int8,0.9347826086956522,0.06521739130434778,15.14706086956484,92,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_int8_classification_report.txt,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_int8_confusion_matrix.csv,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_int8_confusion_matrix.png,D:\ZTT\Garbage Classification\export\quant_run_20260525_113519\tflite_int8_per_image_predictions.csv
