backend,status,accuracy,acc_drop_vs_pytorch_fp32,avg_latency_ms,num_samples,error,classification_report_txt,confusion_matrix_csv,confusion_matrix_png,per_image_predictions_csv
pytorch_fp32,ok,0.9263803680981595,0.0,8.711962883431523,326,,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\pytorch_fp32_classification_report.txt,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\pytorch_fp32_confusion_matrix.csv,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\pytorch_fp32_confusion_matrix.png,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\pytorch_fp32_per_image_predictions.csv
onnx_fp32,ok,0.9263803680981595,0.0,2.142798772931279,326,,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\onnx_fp32_classification_report.txt,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\onnx_fp32_confusion_matrix.csv,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\onnx_fp32_confusion_matrix.png,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\onnx_fp32_per_image_predictions.csv
tflite_float32,ok,0.9263803680981595,0.0,2.8189960122580504,326,,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\tflite_float32_classification_report.txt,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\tflite_float32_confusion_matrix.csv,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\tflite_float32_confusion_matrix.png,D:\Garbage Classification\Garbage_Classification_Organized\models\vision_trigger_5class_tflite\export_20260624_114932\tflite_float32_per_image_predictions.csv
