time,epoch,stage,lr,train_loss,train_acc,val_loss,val_acc,best_val_acc,epoch_time_seconds,is_best,bad_epochs
2026-06-24 11:26:,1,head_only,[0.001],1.5389878768138363,0.3162108072048032,1.5987914632480347,0.2445141065830721,0.2445141065830721,28.988874912261963,1,0
2026-06-24 11:26:,2,head_only,[0.001],1.4300626743786171,0.36624416277518346,1.6019132309199127,0.2445141065830721,0.2445141065830721,25.887153387069702,0,1
2026-06-24 11:26:,3,head_only,[0.001],1.4149196609168788,0.3842561707805203,1.5962249063025447,0.2445141065830721,0.2445141065830721,24.813878774642944,0,2
2026-06-24 11:27:,4,head_only,[0.001],1.3699799649631126,0.40093395597064707,1.6244125063516504,0.2445141065830721,0.2445141065830721,25.209665775299072,0,3
2026-06-24 11:27:,5,head_only,[0.0005],1.4000997082880133,0.37958639092728486,1.6157932666401877,0.14106583072100312,0.2445141065830721,29.395312547683716,0,4
2026-06-24 11:28:,6,fine_tune,"[0.0001, 0.0005]",1.1783314439914798,0.46631087391594395,1.4770530753748543,0.36363636363636365,0.36363636363636365,53.25197982788086,1,0
2026-06-24 11:29:,7,fine_tune,"[0.0001, 0.0005]",0.9548836383444218,0.5823882588392262,0.9181110929919635,0.6050156739811913,0.6050156739811913,44.5467894077301,1,0
2026-06-24 11:30:,8,fine_tune,"[0.0001, 0.0005]",0.803472594152378,0.6217478318879253,0.9170116224066357,0.6551724137931034,0.6551724137931034,44.455702781677246,1,0
2026-06-24 11:30:,9,fine_tune,"[0.0001, 0.0005]",0.7405649302322281,0.6557705136757839,0.8065259651920311,0.6896551724137931,0.6896551724137931,43.11482119560242,1,0
2026-06-24 11:31:,10,fine_tune,"[0.0001, 0.0005]",0.721937268554886,0.6884589726484323,0.5651729601117137,0.7398119122257053,0.7398119122257053,41.09963417053223,1,0
2026-06-24 11:32:,11,fine_tune,"[0.0001, 0.0005]",0.6947493335260718,0.7084723148765844,0.5314198633346437,0.7711598746081505,0.7711598746081505,47.28680753707886,1,0
2026-06-24 11:33:,12,fine_tune,"[0.0001, 0.0005]",0.5951095613898875,0.7471647765176784,0.5677649915498626,0.7648902821316614,0.7711598746081505,42.43217325210571,0,1
2026-06-24 11:33:,13,fine_tune,"[0.0001, 0.0005]",0.5550600596075459,0.7771847898599066,0.44169972608081975,0.877742946708464,0.877742946708464,40.14265060424805,1,0
2026-06-24 11:34:,14,fine_tune,"[0.0001, 0.0005]",0.5397622047304074,0.7725150100066711,0.520418277167975,0.8087774294670846,0.877742946708464,48.879717111587524,0,1
2026-06-24 11:35:,15,fine_tune,"[0.0001, 0.0005]",0.47569441069675494,0.8072048032021347,0.4217832850228096,0.8181818181818182,0.877742946708464,47.52855396270752,0,2
2026-06-24 11:36:,16,fine_tune,"[0.0001, 0.0005]",0.4640764111157176,0.8238825883922615,0.4440956793515286,0.8683385579937304,0.877742946708464,39.366371870040894,0,3
2026-06-24 11:36:,17,fine_tune,"[0.0001, 0.0005]",0.4271370700950063,0.8252168112074717,0.46105415409950534,0.9059561128526645,0.9059561128526645,40.38798475265503,1,0
2026-06-24 11:37:,18,fine_tune,"[0.0001, 0.0005]",0.42867627161355554,0.8385590393595731,0.5536643924617842,0.877742946708464,0.9059561128526645,40.02430200576782,0,1
2026-06-24 11:38:,19,fine_tune,"[0.0001, 0.0005]",0.4043078417874241,0.847898599066044,0.553448276731498,0.890282131661442,0.9059561128526645,39.814687967300415,0,2
2026-06-24 11:38:,20,fine_tune,"[0.0001, 0.0005]",0.3534095684157124,0.8539026017344896,0.4997952634988347,0.8808777429467085,0.9059561128526645,40.00990033149719,0,3
2026-06-24 11:39:,21,fine_tune,"[5e-05, 0.00025]",0.36067900685885496,0.866577718478986,0.7862852251034546,0.8369905956112853,0.9059561128526645,36.11924123764038,0,4
2026-06-24 11:39:,22,fine_tune,"[5e-05, 0.00025]",0.3044159367451913,0.8899266177451635,0.5518721227058235,0.9153605015673981,0.9153605015673981,35.96942901611328,1,0
2026-06-24 11:40:,23,fine_tune,"[5e-05, 0.00025]",0.30755012672769777,0.875917278185457,0.5371213695939432,0.9310344827586207,0.9310344827586207,36.01291489601135,1,0
2026-06-24 11:41:,24,fine_tune,"[5e-05, 0.00025]",0.2708712772996208,0.8999332888592395,0.4032822664722006,0.9028213166144201,0.9310344827586207,36.6522490978241,0,1
2026-06-24 11:41:,25,fine_tune,"[5e-05, 0.00025]",0.22812877752985297,0.9132755170113409,0.40776303867140906,0.9247648902821317,0.9310344827586207,41.78978180885315,0,2
2026-06-24 11:42:,26,fine_tune,"[5e-05, 0.00025]",0.26960951428341023,0.9052701801200801,0.45576901831970695,0.9467084639498433,0.9467084639498433,39.83685326576233,1,0
2026-06-24 11:43:,27,fine_tune,"[5e-05, 0.00025]",0.2379948330410645,0.9099399599733156,0.5416432152324149,0.9404388714733543,0.9467084639498433,37.5657856464386,0,1
2026-06-24 11:43:,28,fine_tune,"[5e-05, 0.00025]",0.2531781225223554,0.9099399599733156,0.44872662947048964,0.9310344827586207,0.9467084639498433,37.84795570373535,0,2
2026-06-24 11:44:,29,fine_tune,"[5e-05, 0.00025]",0.25241473076580523,0.8999332888592395,0.41800141825010784,0.9341692789968652,0.9467084639498433,35.73427104949951,0,3
2026-06-24 11:44:,30,fine_tune,"[2.5e-05, 0.000125]",0.23133776453960492,0.9226150767178118,0.4865990534167865,0.9184952978056427,0.9467084639498433,36.052988052368164,0,4
2026-06-24 11:45:,31,fine_tune,"[2.5e-05, 0.000125]",0.19593758005810388,0.9312875250166778,0.4545526371387105,0.9341692789968652,0.9467084639498433,35.54605436325073,0,5
2026-06-24 11:46:,32,fine_tune,"[2.5e-05, 0.000125]",0.19135542156260518,0.9286190793862575,0.5110706897411601,0.9341692789968652,0.9467084639498433,35.34903120994568,0,6
2026-06-24 11:46:,33,fine_tune,"[2.5e-05, 0.000125]",0.21783566459009376,0.9172781854569713,0.5406052998521111,0.9373040752351097,0.9467084639498433,37.762797355651855,0,7
2026-06-24 11:47:,34,fine_tune,"[1.25e-05, 6.25e-05]",0.21294755172518748,0.9326217478318879,0.3850872228885519,0.9467084639498433,0.9467084639498433,45.09639310836792,0,8
2026-06-24 11:48:,35,fine_tune,"[1.25e-05, 6.25e-05]",0.17604250054784104,0.9406270847231488,0.46483409327679664,0.9153605015673981,0.9467084639498433,35.419790267944336,0,9
2026-06-24 11:48:,36,fine_tune,"[1.25e-05, 6.25e-05]",0.19632288270329856,0.923282188125417,0.3906264940632922,0.9435736677115988,0.9467084639498433,35.90552544593811,0,10
